tweet,date,weekStarting
Summer tastes so good.  Coconut Twist:   1 1/4 oz. Admiral Nelson's Coconut Rum 1 oz. Cream of Coconut 2 oz....,2015-07-06,2015-07-05
Take a drink on the dark side.,2015-07-08,2015-07-05
Ready for summer adventures with the Admiral?,2015-07-10,2015-07-05
Mix up your summer with the Admiral!,2015-07-13,2015-07-12
Turn a blind eye to ordinary tonight.   Black Sail:  1.5 oz. Admiral Nelson's Black Rum 1 oz. Pineapple Juice...,2015-07-15,2015-07-12
The happiest hours start with the Admiral.,2015-07-17,2015-07-12
Unleash your darker side with Black Patch tonight!  Black Cider Ale:   2 oz. Admiral Nelson's Black Patch  Hard...,2015-07-20,2015-07-19
Words to live by.,2015-07-22,2015-07-19
Heat up your night.,2015-07-24,2015-07-19
Kick back and catch a game tonight.,2015-07-27,2015-07-26
Be bold this summer.,2015-07-29,2015-07-26
Your weekend plans?   Drunken Float: 2 oz. Admiral Nelson's Vanilla Rum 6 oz. Root Beer Soda  Pour Admiral...,2015-07-31,2015-07-26
Mix it up this summer with all your favorite Admiral flavors.,2015-08-03,2015-08-02
"Tonight, try something a little darker. Black Charred Cherry:  2 oz. Admiral Nelson's Black Patch Cherry Cola...",2015-08-05,2015-08-02
"Warm weather, good friends, and your favorite rum. What more do you need?",2015-08-07,2015-08-02
Turn a blind eye to ordinary with Admiral Nelson's Black Patch.,2015-08-13,2015-08-09
Adventures with the Admiral await.,2015-08-14,2015-08-09
Celebrate National Rum Day with the whole Admiral Family.,2015-08-16,2015-08-16
In need of a tropical vacation? Try the Tropical Admiral:  1 1/4 oz. Admiral Nelson's Spiced Rum 4 oz. Pineapple...,2015-08-17,2015-08-16
It's not a party without the Admiral.,2015-08-19,2015-08-16
Find your new favorite drink this weekend.  Admiral &amp; Ginger: 2 oz. Admiral Nelson's Spiced Rum 6 oz. Ginger Ale...,2015-08-21,2015-08-16
Discover a darker course.,2015-08-25,2015-08-23
Summer night celebrations just wouldn't be the same without him.,2015-08-26,2015-08-23
This is NOT your ordinary Iced Tea.  1 oz. Admiral Nelson's 101 Proof Spiced Rum  10 oz. Iced Tea  Pour Admiral...,2015-08-28,2015-08-23
Cheers to charting your own course this week.,2015-08-31,2015-08-30
Looks like there's darkness ahead.   Black Sail: 1.5 oz. Admiral Nelson's Black Rum 1 oz. .Pineapple Juice Lemon...,2015-09-02,2015-08-30
Sometimes it's nice to take a weekend off from adventures. Enjoy your hard earned break. #LaborDayWeekend,2015-09-04,2015-08-30
Will you turn a blind eye to ordinary rum?,2015-09-10,2015-09-06
The weekend lineup.,2015-09-12,2015-09-06
Ready to enjoy the game with the Admiral?,2015-09-15,2015-09-13
Chart your own course with your favorite Admiral flavor.,2015-09-16,2015-09-13
Take a drink on the dark side this weekend with the Rebel Sailor: 2 oz. Admiral Nelson's Black Patch 1 oz....,2015-09-19,2015-09-13
"Admirably Spiced, Mysteriously Dark. Take a drink on the dark side tonight.",2015-09-22,2015-09-20
Here's to new adventures this fall.,2015-09-23,2015-09-20
Spice up your weekend with Admiral Nelson's Spiked Tea!  1 oz. Admiral Nelson's 101 Proof Spiced Rum 10 oz. Iced...,2015-09-26,2015-09-20
Let the adventures begin.,2015-09-28,2015-09-27
You deserve a mid-week break with the gang.,2015-09-30,2015-09-27
"Whether tailgating or couch-gating, enjoy a drink with the Admiral.",2015-10-02,2015-09-27
"Admirably Spiced, Mysteriously Dark. Have you tried Admiral Nelson's Black Patch yet?",2015-10-05,2015-10-04
Relax tonight with your favorite group of friends.,2015-10-07,2015-10-04
Chart your own course with the Admiral this weekend.,2015-10-09,2015-10-04
Who said you can't have adventures on a week night?,2015-10-13,2015-10-11
"Let's just say, no one will be disappointed when you show up to MNF with him.",2015-10-19,2015-10-18
"When the weather cools down, warm up with an Admiral and Cola.",2015-10-21,2015-10-18
Show off your skills by mixing up something delicious: The Rebel Sailor.  2 oz. Admiral Nelson's Black Patch 1...,2015-10-23,2015-10-18
Let the games begin.,2015-10-27,2015-10-25
"Sure, your costume is important. But what you're drinking is even more important.",2015-10-31,2015-10-25
"Cheers to Daylight Savings, or as we like to call it, an extra hour to relax with the Admiral.",2015-11-01,2015-11-01
Spice up your weeknight with a Nelson's Lady.  2 oz. Admiral Nelson's Cherry Spiced Rum 6 oz. Cherry Cola Pour...,2015-11-03,2015-11-01
Which flavor is your favorite player?,2015-11-06,2015-11-01
"Admirably Spiced, Mysteriously Dark.",2015-11-09,2015-11-08
It's time for bold moves.,2015-11-11,2015-11-08
"With the Admiral in hand, you've already scored the ultimate touchdown this weekend.",2015-11-13,2015-11-08
Adventures with the Admiral await.,2015-11-16,2015-11-15
"For him, No Shave November last all year long.",2015-11-18,2015-11-15
Dreaming of the beach? Sip on a Coconut Colada and let the Admiral take you there.  1 1/4 oz. Admiral Nelson's...,2015-11-20,2015-11-15
His crew's full of flavor.,2015-11-23,2015-11-22
Here's to hoping no one burns the turkey or forgets the Admiral at this years Friendsgiving!,2015-11-25,2015-11-22
Why fight the Black Friday crowds? Chart your own course with the Admiral on your day off.,2015-11-27,2015-11-22
Holiday shopping season has begun. We have some bold gift ideas.,2015-12-01,2015-11-29
It's cold outside. Let the Admiral warm you up.,2015-12-04,2015-11-29
"Admirably Spiced, Mysteriously Dark. Sounds like the perfect way to spend your night.",2015-12-07,2015-12-06
Dreaming of the weekend with the Orange Dreamsicle.  1 1/2 oz. Admiral Nelson's Vanilla Rum Orange Soda Mix...,2015-12-11,2015-12-06
What's your go-to holiday flavor?,2015-12-14,2015-12-13
Making spirits bright with some help from the Admiral.,2015-12-16,2015-12-13
What makes a perfect holiday adventure? A delicious blend of Admiral Nelson's Spiced Rum and creamy egg nog.,2015-12-18,2015-12-13
"It's the #FirstDayofWinter, what else is there to do but spend some time with your favorite Admiral?",2015-12-22,2015-12-20
Wishing you bold adventures thits holiday season.,2015-12-25,2015-12-20
We're daydreaming about heading somewhere tropical.  Tropical Admiral 1 1/4 oz. Admiral Nelson's Spiced Rum 4 oz....,2015-12-28,2015-12-27
We're getting ready for NYE. Try this Rum Punch for your big party!  2 cups Admiral Nelson’s Spiced Rum 1 cup...,2015-12-29,2015-12-27
Our New Year's Resolution? To be more Admirable.,2015-12-31,2015-12-27
"The bolder the resolution, the bigger the adventure.",2016-01-04,2016-01-03
Warm up your weeknight with the Admiral.,2016-01-06,2016-01-03
Relax this weekend with your favorite group of friends.,2016-01-08,2016-01-03
Turn a blind eye to the ordinary work week.,2016-01-11,2016-01-10
Take a drink on the dark side with the Rebel Sailor.  2 oz. Admiral Nelson's Black Patch 1 oz. Coconut Rum 2 oz....,2016-01-13,2016-01-10
Cheers to an adventurous weekend with your crew.,2016-01-15,2016-01-10
Ready to be bolder? Sign up for our newsletter and be in the know about all things Admiral.,2016-01-19,2016-01-17
For those who like their rum the way they like their night: full of spice.,2016-01-20,2016-01-17
Chart your own course with the Admiral tonight.,2016-01-22,2016-01-17
Snow days are bolder with the Admiral.,2016-01-25,2016-01-24
"Decisions, decisions.",2016-01-27,2016-01-24
Serve up some spice this weekend with Admiral's Spiked Tea!  1 oz. Admiral Nelson's 101 Proof Rum 10 oz. Iced Tea...,2016-01-29,2016-01-24
"Let's kick off National Cherry Month with one of our favorite recipes, the Nelson's Lady.  2 oz. Admiral Nelson's...",2016-02-01,2016-01-31
Winter's in full force. Hunker down with the Admiral tonight.,2016-02-03,2016-01-31
Join the Admiral and his fleet of delicious flavors this weekend.,2016-02-05,2016-01-31
Who's ready for the big game? This guy is!,2016-02-07,2016-02-07
Drunken Float for dessert? Sweet. 2 oz. Admiral Nelson's Vanilla Rum 6 oz. Root Beer Soda Pour Admiral Nelson's...,2016-02-10,2016-02-07
We know who your one true love is...,2016-02-14,2016-02-14
Dare to drink on the dark side with Admiral Nelson's Black Patch.,2016-02-18,2016-02-14
"Ingredients for a perfect weekend? Admiral Nelson's Spiced, Admiral Nelson's Black Patch, and Admiral Nelson's...",2016-02-19,2016-02-14
Adventure's a click away. Enter our Spin to Win Sweepstakes for your chance to win!...,2016-02-22,2016-02-21
Cheers to an extra day this year.,2016-02-28,2016-02-28
Adventures with the Admiral await!,2016-02-29,2016-02-28
Pay it forward: make the Admiral your best friend's new best friend.,2016-03-04,2016-02-28
You have the work week blues. We have the Rum. Coincidence?,2016-03-07,2016-03-06
Enjoy a bolder week with your favorite crew.,2016-03-09,2016-03-06
The Admiral reminds you to not forget to set your clocks forward!,2016-03-12,2016-03-06
"The dark side tastes so, so smooth.",2016-03-14,2016-03-13
The Admiral is giving away a bar cart. Spin for your chance to win!,2016-03-16,2016-03-13
We're making Cherry Puckers tonight. Your turn.   Cherry Pucker 2 oz. Admiral Nelson's Cherry Spiced Rum 6 oz....,2016-03-18,2016-03-13
"Spring's here. So naturally, it's time to start thinking about summer.",2016-03-20,2016-03-20
We know who the winner is in our bracket.,2016-03-22,2016-03-20
Weekend plans? You're looking at them.,2016-03-25,2016-03-20
Treat yourself to a Cranberry Delight tonight.  1 1/2 oz. Admiral Nelson's Coconut Rum 1 1/2 oz. Cranberry Juice...,2016-03-28,2016-03-27
"Spend the weekend with your favorite crew. Oh, and bring your friends too.",2016-03-31,2016-03-27
The Admiral doesn't joke around about Rum.,2016-04-01,2016-03-27
Our Spring fever is setting in. Time to break out the Admiral's finest.,2016-04-03,2016-04-03
Turn a blind to ordinary with Admiral Nelson's Black Patch.,2016-04-05,2016-04-03
"We see your future, and it's bright orange.  Orange Dreamsicle 1 1/2 oz. Admiral Nelson's Vanilla Rum Orange Soda...",2016-04-07,2016-04-03
"The bold night starter pack: ice, cola, our favorite rum.",2016-04-11,2016-04-10
Cheers to the adventurous spirit. Way to keep it Admirable.,2016-04-13,2016-04-10
Tonight's plans...we're already excited yesterday.,2016-04-14,2016-04-10
Relax tonight wtih your favorite crew.,2016-04-18,2016-04-17
"Admirably Spiced, Mysteriously Dark.",2016-04-20,2016-04-17
Weekend adventures with the Admiral await!,2016-04-22,2016-04-17
"Summer's so close we can taste it. Nevermind, that's just us sipping Admiral Nelson's Coconut Rum.",2016-04-25,2016-04-24
Chart your own course this week!,2016-04-27,2016-04-24
Trading in our tequila for Rum on this Cinco de Mayo!,2016-05-05,2016-05-01
It's a beautiful day for a horse race and we're placing our bet on a sure winner.,2016-05-07,2016-05-01
"Give your mom the gift of flavor, the Tropical Admiral!  1 1/4 oz. Admiral Nelson's Spiced Rum 4 oz. Pineapple...",2016-05-08,2016-05-08
Aren't the Spring colors beautiful?,2016-05-10,2016-05-08
Put a cherry on top of your night with the Cherry Pucker!  2 oz. Admiral Nelson's Cherry Spiced Rum 6 oz. Sour...,2016-05-12,2016-05-08
Raise a glass. It's finally warm enough to take the Admiral outdoors!,2016-05-17,2016-05-15
"Have you tried Admiral Nelson's Black Patch? Rebellious spirits, get a sip of this.   Rebellious Roots 2 oz....",2016-05-18,2016-05-15
Get on board with Admiral Nelson's Premium Rums! There's a rum for every adventure.,2016-05-19,2016-05-15
An Admirable start to the week.,2016-05-23,2016-05-22
I dream of Friday with this cocktail!  1 oz. Admiral Nelson's Spiced Rum 6 oz. Orange Soda Pour Admiral Nelson's...,2016-05-25,2016-05-22
Prep work. For three days off.,2016-05-27,2016-05-22
Work off. Grill's on. The Admiral's in.,2016-05-30,2016-05-29
You've waited all year for this. Which flavor are you kicking off summer with?,2016-06-01,2016-05-29
Be an Admiral. Chart your Own Course this week.,2016-06-06,2016-06-05
Cheers to a long summer with the Admiral.,2016-06-08,2016-06-05
Admiral Nelson's Black Patch is 94 proof and filtered through Bourbon barrel charred oak. It doesn't get much...,2016-06-10,2016-06-05
Want to Party with the Admiral? Enter now for your chance to spice up your Summer with this Admiral Nelson's...,2016-06-10,2016-06-05
Start the night with a new adventure.,2016-06-13,2016-06-12
Turn a blind eye to the ordinary.,2016-06-15,2016-06-12
Father's Day. The Admiral Way.,2016-06-19,2016-06-19
It's the first day of summer. Here's to new adventures with the crew.,2016-06-20,2016-06-19
Want more Admiral in your life? Sign up for our newsletter and be in the know about all thing Admiral....,2016-06-24,2016-06-19
Adventure awaits with the Admiral.,2016-06-28,2016-06-26
Who's ready for the long weekend? This guy!,2016-06-30,2016-06-26
How will you bring the bold taste of The Admiral to your cocktails this weekend?,2013-08-16,2013-08-11
Admiral Nelson was a man of loyalty who captured the essences of boldness &amp; adventure in his daily life. Here's...,2013-08-20,2013-08-18
"Another Thirsty Thursday is upon us! No one can match the smoothness of the Admiral, so make sure to bring him...",2013-08-22,2013-08-18
It's time to sail away on another weekend adventure! Start the weekend off right with an Admiral Nelson's Cherry...,2013-08-23,2013-08-18
The independent spirit and lust for life within Admiral Horatio Nelson became the inspiration this delicious rum....,2013-08-26,2013-08-25
"Halfway through the work week…cheers to you and a tall glass of ""Nelson's Lady""! 2 oz. Admiral Nelson's Cherry...",2013-08-28,2013-08-25
Charting your own course this weekend? We're sure the Admiral would approve (as long as you bring him along for...,2013-08-30,2013-08-25
"Coast back into the week after a long weekend with an ""Admiral's Touch"" 1 oz. Admiral Nelson's Spiced Rum  1/4...",2013-09-03,2013-09-01
Make the Admiral proud and chart your own course as the weekend is upon us! Think Wisely. Drink Wisely.,2013-09-05,2013-09-01
Are you ready for a bold adventurous weekend? Here's to a good time and good company!,2013-09-06,2013-09-01
We want to hear about all of your weekend adventures!,2013-09-09,2013-09-08
The smooth taste of Admiral Nelson's Premium Coconut Rum is perfect in this Admiral Nelson's Coconut Colada 1 1/4...,2013-09-12,2013-09-08
"Admirably Spiced, Perfectly Smooth...The Admiral makes for a perfect weekend wingman! Add him to any cocktail for...",2013-09-13,2013-09-08
Let's hear from Admiral's crew…what is your favorite way to enjoy Admiral Nelson's Rum?,2013-09-17,2013-09-15
Struggling to pull through the week? Keep your sights set on charting your own course with the Admiral this weekend!,2013-09-18,2013-09-15
Make a bold statement to any tailgate this weekend with a bottle of Admiral Nelson's Premium Spiced Rum. It's...,2013-09-20,2013-09-15
Start your week off in Admiral fashion with an Admiral Sunrise! 1 oz. Admiral Nelson's Vanilla Rum  6 oz. Orange...,2013-09-23,2013-09-22
Taste the independence and lust for life Admiral Nelson has in every sip of Admiral Nelson's Premium Spiced Rum!,2013-09-25,2013-09-22
Cheers to another bold weekend filled with Admiral adventure!,2013-09-27,2013-09-22
"What better way to spend the first weekend of October than with ""Nelson's Lady""?  2 oz. Admiral Nelson's Cherry...",2013-10-04,2013-09-29
You've escaped the first half of the week &amp; are riding the wave into the weekend! Just a few more days and you...,2013-10-09,2013-10-06
Prepare your sails to chart your own course this weekend with the Admiral by your side!,2013-10-10,2013-10-06
"With the hint of fall creeping into the night, warm yourself with an ""Admiral &amp; Ginger"" 2 oz. Admiral Nelson's...",2013-10-11,2013-10-06
"""Admirably Spiced, Perfectly Smooth"" was the Moto of the Man &amp; Inspiration behind the Rum!",2013-10-17,2013-10-13
How will you serve up your Admiral Nelson's this weekend…,2013-10-18,2013-10-13
"While we only have eyes for the Admiral, he offers more than just a delicious Spiced flavor. Which Admiral...",2013-10-23,2013-10-20
Halloween is quickly approaching! If you are looking to dress up like someone who has a rebellious independence &amp;...,2013-10-25,2013-10-20
Halloween is just a few days away and what better way to get into the Halloween spirit than with a spooky...,2013-10-29,2013-10-27
"We know a ""treat"" that will liven up any Halloween Party. He comes in numerous varieties, but is sure to be the...",2013-10-30,2013-10-27
Happy Halloween Maties!  If you spot the Admiral about this evening make sure to let us know (pictures are...,2013-10-31,2013-10-27
Admiral Nelson was a bold character who led an adventurous life defending the open waters…This is the rum that...,2013-11-07,2013-11-03
Get game day ready by mixing up a batch of Admiral's Spiked Tea!  1 oz. Admiral Nelson's 101 Proof Spiced Rum  10...,2013-11-08,2013-11-03
"An Admirable Thank you to all of the men &amp; women that have &amp; do serve for all of our Military Branches! Today,...",2013-11-11,2013-11-10
I posted a new photo to Facebook,2013-11-13,2013-11-10
Raise a glass to the bold life with the Admiral this weekend!,2013-11-15,2013-11-10
Admiral words to live by...,2013-11-20,2013-11-17
The independent spirit and lust for life within Admiral Horatio Nelson became the inspiration this delicious rum....,2013-11-21,2013-11-17
"Since Thanksgiving is less than a week away, we figured you could use a little quality time with the Admiral &amp;...",2013-11-22,2013-11-17
Who need cranberry sauce when you can have a Cranberry Delight!? 1 1/2 oz. Admiral Nelson's Coconut Rum  1 1/2...,2013-11-26,2013-11-24
Who need cranberry sauce for the holidays when you can have a Cranberry Delight!? 1 1/2 oz. Admiral Nelson's...,2013-11-26,2013-11-24
Happy Thanksgiving Maties! May your food be bountiful &amp; your cup filled with the Admiral!,2013-11-28,2013-11-24
"We know that if you are partaking in Black Friday festivities, it's well over do for some time with the Admiral!",2013-11-29,2013-11-24
I posted a new photo to Facebook,2013-12-10,2013-12-08
Toast another Thirsty Thursday in the Admiral fashion with a Drunken Float 2 oz. Admiral Nelson's Vanilla Rum  6...,2013-12-12,2013-12-08
Another weekend is upon us &amp; the Holidays are quickly approaching...raise a glass with the Admiral &amp; sail away...,2013-12-13,2013-12-08
You conquered another Holiday! You deserve to relax with an Admiral &amp; Cola!  1 1/2 oz. Admiral Nelson's Premium...,2013-12-20,2013-12-15
I posted a new photo to Facebook,2013-12-24,2013-12-22
An Admiral Cheers to you &amp; yours! Merry Christmas!,2013-12-25,2013-12-22
You conquered another Holiday! Treat yourself to an Admiral &amp; Cola!  1 1/2 oz. Admiral Nelson's Premium Spiced...,2013-12-27,2013-12-22
It is a night for Adventures! Take the Admiral along with you &amp; it will be a night never to forget!  Think...,2013-12-31,2013-12-29
An Admiral Happy New Year to all!,2014-01-01,2013-12-29
I posted a new photo to Facebook,2014-01-14,2014-01-12
"Cheers to an Admirably Spiced &amp; Perfectly Smooth Thirsty Thursday with a ""Cherry Pucker""! 2 oz. Admiral Nelson's...",2014-01-16,2014-01-12
Who is planning to sail off on an Admiral Adventure this weekend?,2014-01-17,2014-01-12
Which member of the Admiral Nelson's family is your go to for Thirsty Thursday?,2014-01-23,2014-01-19
I posted a new photo to Facebook,2014-01-28,2014-01-26
You've escaped the first half of the week &amp; are riding the wave into the weekend! Just a few more days and you...,2014-01-29,2014-01-26
Get ready for the big game by mixing up a batch of Admiral's Spiked Tea!  1 oz. Admiral Nelson's 101 Proof Spiced...,2014-01-31,2014-01-26
Escape to the tropics in the winter with a cocktail featuring Admiral Nelson's Coconut Rum. It's the most...,2014-02-03,2014-02-02
Happy Thirsty Thursday! Who plans on partaking in some adventures with the Admiral tonight?,2014-02-06,2014-02-02
"No lonely hearts tonight! Enjoy an ""I Dream of Admiral"" on this Thirsty Thursday before Valentine's Day!  1 oz....",2014-02-13,2014-02-09
Need a date tonight? The Admiral is always a great choice!  Happy Valentine's Day! Think Wisely. Drink Wisely.,2014-02-14,2014-02-09
Which member of the Admiral line up is your family? Don't worry...we won't tell the others!,2014-02-20,2014-02-16
"Winter blues? The Admiral can chase them away with a ""Tropical Splash"" 1 oz. Admiral Nelson's Coconut Rum  1 oz....",2014-02-21,2014-02-16
"It may only be Thursday, but it's ok if you sail off into the weekend early with the Admiral...we won't tell!",2014-02-27,2014-02-23
Kick the Monday Blues to the High Seas with a Tropical Admiral!  1 1/4 oz. Admiral Nelson's Spiced Rum  4 oz....,2014-03-03,2014-03-02
Every adventure needs the Admiral!,2014-03-06,2014-03-02
"Mix up an ""Admiral &amp; Cola"" for an Admirably Spiced start to a Perfectly Smooth weekend!  1 1/2 oz. Admiral...",2014-03-07,2014-03-02
More than just a motto...More like a way of life!,2014-03-12,2014-03-09
Celebrate the luck of the Irish this St. Patty's weekend by adding the Adventure of the Admiral! 1 oz. Admiral...,2014-03-14,2014-03-09
Raise a glass today to St. Patrick! Cheers to you mate! Think Wisely. Drink Wisely.,2014-03-17,2014-03-16
"Cheers to the first official weekend of spring with the Admiral's ""Coconut Twist""!  1 1/4 oz. Admiral Nelson's...",2014-03-21,2014-03-16
Which member of the Admiral Nelson's Family is your favorite...?,2014-03-27,2014-03-23
An Admiral &amp; Ginger is the perfect drink to mix up for the games tonight!  2 oz. Admiral Nelson's Spiced Rum  6...,2014-03-28,2014-03-23
Always Admirably Spiced &amp; Perfectly Smooth...No fooling! Happy April Fools!,2014-04-01,2014-03-30
Spring is in the air…but is the Admiral in your cup? Tell us your favorite way to serve up the Admiral…,2014-04-03,2014-03-30
"Both teams are sure to need the ""Admiral's Touch"" in tonight's big matchup!  1 oz. Admiral Nelson's Spiced Rum...",2014-04-07,2014-04-06
"You're almost thru the work week! We know this is when you start to ""Dream of Nelson"" 1 oz. Admiral Nelson's...",2014-04-10,2014-04-06
Adventure is on the horizon! Who has plans to Chart their own course with the Admiral this weekend?,2014-04-11,2014-04-06
I posted a new photo to Facebook,2014-04-14,2014-04-13
Sail thru the rest of the week with an Orange Dreamsicle  1 1/2 Admiral Nelson's Vanilla Rum  Orange Soda  Mix...,2014-04-16,2014-04-13
Time to party like it's 1778 with the Admiral this weekend!,2014-04-18,2014-04-13
The Admiral's sailed to the far reaching ends of Earth. Cheers to Earth Day and adventure!,2014-04-22,2014-04-20
What's better than a cold iced tea? An Admirably spiked one of course  1 oz. Admiral Nelson's 101 Proof Spiced...,2014-04-24,2014-04-20
Happy Friday! tell us..your favorite way to drink the Admiral is ______,2014-04-25,2014-04-20
"The Admiral's next stop: Louisville, KY for the Derby. Who's on board?!",2014-04-29,2014-04-27
"The Admiral's picked his winners for the Derby today, how about you?",2014-05-03,2014-04-27
Who's celebrating Cinco De Mayo with the Admiral today?,2014-05-05,2014-05-04
"It's time to get tropical with the Admiral, island not included   1 1/4 oz. Admiral Nelson's Coconut Rum  1/2 oz....",2014-05-07,2014-05-04
The party doesn't start till the Admiral shows up!,2014-05-10,2014-05-04
You can't choose your family but you can choose your flavor,2014-05-12,2014-05-11
Discover the undeniable delicious taste of spiced rum infused with real cherries,2014-05-15,2014-05-11
It's Friday and adventure is so close we can taste it,2014-05-16,2014-05-11
Feeling the heat outside? Cool off with an Admirably spiced tropical splash   1 oz. Admiral Nelson's Coconut Rum...,2014-05-19,2014-05-18
Admiral fans: Your favorite way to drink the Admiral in the summertime is ______,2014-05-21,2014-05-18
Time wasted with friends is never a waste of time,2014-05-23,2014-05-18
Cheers to the brave men and women charting their course today!,2014-05-26,2014-05-25
What's more refreshing than jumping into a pool? A tall glass of admirably spiced iced tea     1 oz. Admiral...,2014-05-30,2014-05-25
It's national leave work early day so sneak out and meet up with the Admiral,2014-06-02,2014-06-01
Give your cola a break with an Admiral and Ginger                           2 oz. Admiral Nelson's Spiced Rum  6...,2014-06-04,2014-06-01
Wishing we were here...who's ready to kick back this weekend?,2014-06-06,2014-06-01
Man dates with the Admiral are acceptable,2014-06-09,2014-06-08
You've made it halfway thru the week so treat yourself to a Cranberry Delight!   1 1/2 oz. Admiral Nelson's...,2014-06-11,2014-06-08
Your best wingman for the weekend,2014-06-13,2014-06-08
Never settle for ordinary Mondays when you can make it your own,2014-06-16,2014-06-15
Smooth sailing ahead with the Nelson's Touch  1 oz. Admiral Nelson's Spiced Rum  1/4 oz. Peach Liqueur  1/4 oz....,2014-06-18,2014-06-15
